datetime,direction,location,rate,pbm_rate
01/28/2018 09:30,SB,Parmer to 5th/CVZ,0.5,0.66
01/16/2018 12:00,NB,2222 to Parmer,0.25,0.33
01/16/2018 12:00,NB,CVZ to 183,0.25,0.33
01/16/2018 12:00,NB,CVZ to Parmer,0.5,0.66
01/16/2018 12:00,SB,2222 to 5th/CVZ,0.25,0.33
01/16/2018 12:00,SB,Parmer to 2222,0.25,0.33
01/16/2018 12:00,SB,Parmer to 5th/CVZ,0.5,0.66
01/09/2018 09:30,NB,2222 to Parmer,0.25,0.33
01/09/2018 09:30,NB,CVZ to 183,0.25,0.33
01/09/2018 09:30,NB,CVZ to Parmer,0.5,0.66
01/09/2018 09:30,SB,2222 to 5th/CVZ,0.25,0.33
01/09/2018 09:30,SB,Parmer to 2222,0.25,0.33
01/09/2018 09:30,SB,Parmer to 5th/CVZ,0.5,0.66
01/05/2018 06:30,NB,2222 to Parmer,0.25,0.33
01/05/2018 06:30,NB,CVZ to 183,0.25,0.33
01/05/2018 06:30,NB,CVZ to Parmer,0.5,0.66
01/05/2018 06:30,SB,2222 to 5th/CVZ,0.25,0.33
01/05/2018 06:30,SB,Parmer to 2222,0.25,0.33
01/05/2018 06:30,SB,Parmer to 5th/CVZ,0.5,0.66
01/08/2018 02:00,NB,2222 to Parmer,0.25,0.33
01/08/2018 02:00,NB,CVZ to 183,0.25,0.33
01/08/2018 02:00,NB,CVZ to Parmer,0.5,0.66
01/08/2018 02:00,SB,2222 to 5th/CVZ,0.25,0.33
01/08/2018 02:00,SB,Parmer to 2222,0.25,0.33
01/08/2018 02:00,SB,Parmer to 5th/CVZ,0.5,0.66
01/28/2018 17:30,NB,2222 to Parmer,0.25,0.33
01/28/2018 17:30,NB,CVZ to 183,0.25,0.33
01/28/2018 17:30,NB,CVZ to Parmer,0.5,0.66
01/28/2018 17:30,SB,2222 to 5th/CVZ,0.25,0.33
01/28/2018 17:30,SB,Parmer to 2222,0.25,0.33
01/28/2018 17:30,SB,Parmer to 5th/CVZ,0.5,0.66
01/13/2018 03:30,NB,2222 to Parmer,0.25,0.33
01/13/2018 03:30,NB,CVZ to 183,0.25,0.33
01/13/2018 03:30,NB,CVZ to Parmer,0.5,0.66
01/13/2018 03:30,SB,2222 to 5th/CVZ,0.25,0.33
01/13/2018 03:30,SB,Parmer to 2222,0.25,0.33
01/13/2018 03:30,SB,Parmer to 5th/CVZ,0.5,0.66
01/15/2018 00:30,NB,2222 to Parmer,0.25,0.33
01/15/2018 00:30,NB,CVZ to 183,0.25,0.33
01/15/2018 00:30,NB,CVZ to Parmer,0.5,0.66
01/15/2018 00:30,SB,2222 to 5th/CVZ,0.25,0.33
01/15/2018 00:30,SB,Parmer to 2222,0.25,0.33
01/15/2018 00:30,SB,Parmer to 5th/CVZ,0.5,0.66
01/12/2018 06:30,NB,2222 to Parmer,0.25,0.33
01/12/2018 06:30,NB,CVZ to 183,0.25,0.33
01/12/2018 06:30,NB,CVZ to Parmer,0.5,0.66
01/12/2018 06:30,SB,2222 to 5th/CVZ,0.25,0.33
01/12/2018 06:30,SB,Parmer to 2222,0.25,0.33
01/12/2018 06:30,SB,Parmer to 5th/CVZ,0.5,0.66
02/04/2018 23:00,NB,2222 to Parmer,0.25,0.33
02/04/2018 23:00,NB,CVZ to 183,0.25,0.33
02/04/2018 23:00,NB,CVZ to Parmer,0.5,0.66
02/04/2018 23:00,SB,2222 to 5th/CVZ,0.25,0.33
02/04/2018 23:00,SB,Parmer to 2222,0.25,0.33
02/04/2018 23:00,SB,Parmer to 5th/CVZ,0.5,0.66
02/06/2018 17:30,NB,2222 to Parmer,4.1,5.45
02/06/2018 17:30,NB,CVZ to 183,4.86,6.46
02/06/2018 17:30,NB,CVZ to Parmer,9.46,12.58
02/06/2018 17:30,SB,2222 to 5th/CVZ,3.81,5.06
02/06/2018 17:30,SB,Parmer to 2222,0.25,0.33
02/06/2018 17:30,SB,Parmer to 5th/CVZ,4.06,5.39
01/04/2018 22:30,NB,2222 to Parmer,0.25,0.33
01/04/2018 22:30,NB,CVZ to 183,0.25,0.33
01/04/2018 22:30,NB,CVZ to Parmer,0.5,0.66
01/04/2018 22:30,SB,2222 to 5th/CVZ,0.25,0.33
01/04/2018 22:30,SB,Parmer to 2222,0.25,0.33
01/04/2018 22:30,SB,Parmer to 5th/CVZ,0.5,0.66
01/13/2018 18:00,NB,2222 to Parmer,0.25,0.33
01/13/2018 18:00,NB,CVZ to 183,0.25,0.33
01/13/2018 18:00,NB,CVZ to Parmer,0.5,0.66
01/13/2018 18:00,SB,2222 to 5th/CVZ,0.25,0.33
01/13/2018 18:00,SB,Parmer to 2222,0.25,0.33
01/13/2018 18:00,SB,Parmer to 5th/CVZ,0.5,0.66
01/18/2018 19:30,NB,2222 to Parmer,0.25,0.33
01/18/2018 19:30,NB,CVZ to 183,0.25,0.33
01/18/2018 19:30,NB,CVZ to Parmer,0.5,0.66
01/18/2018 19:30,SB,2222 to 5th/CVZ,0.25,0.33
01/18/2018 19:30,SB,Parmer to 2222,0.25,0.33
01/18/2018 19:30,SB,Parmer to 5th/CVZ,0.5,0.66
01/31/2018 14:00,NB,2222 to Parmer,0.25,0.33
01/31/2018 14:00,NB,CVZ to 183,0.25,0.33
01/31/2018 14:00,NB,CVZ to Parmer,0.5,0.66
01/31/2018 14:00,SB,2222 to 5th/CVZ,0.33,0.43
01/31/2018 14:00,SB,Parmer to 2222,0.25,0.33
01/31/2018 14:00,SB,Parmer to 5th/CVZ,0.58,0.77
01/19/2018 08:30,NB,2222 to Parmer,0.25,0.33
01/19/2018 08:30,NB,CVZ to 183,0.25,0.33
01/19/2018 08:30,NB,CVZ to Parmer,0.5,0.66
01/19/2018 08:30,SB,2222 to 5th/CVZ,2.55,3.39
01/19/2018 08:30,SB,Parmer to 2222,1.71,2.27
01/19/2018 08:30,SB,Parmer to 5th/CVZ,4.26,5.66
01/07/2018 20:00,NB,2222 to Parmer,0.25,0.33
01/07/2018 20:00,NB,CVZ to 183,0.25,0.33
01/07/2018 20:00,NB,CVZ to Parmer,0.5,0.66
01/07/2018 20:00,SB,2222 to 5th/CVZ,0.25,0.33
01/07/2018 20:00,SB,Parmer to 2222,0.25,0.33
01/07/2018 20:00,SB,Parmer to 5th/CVZ,0.5,0.66
01/23/2018 15:30,NB,2222 to Parmer,0.34,0.45
01/23/2018 15:30,NB,CVZ to 183,0.65,0.86
01/23/2018 15:30,NB,CVZ to Parmer,0.65,0.86
01/23/2018 15:30,SB,2222 to 5th/CVZ,1.2,1.59
01/23/2018 15:30,SB,Parmer to 2222,0.25,0.33
01/23/2018 15:30,SB,Parmer to 5th/CVZ,1.45,1.92
01/17/2018 15:00,NB,2222 to Parmer,0.25,0.33
01/17/2018 15:00,NB,CVZ to 183,0.25,0.33
01/17/2018 15:00,NB,CVZ to Parmer,0.5,0.66
01/17/2018 15:00,SB,2222 to 5th/CVZ,0.25,0.33
01/17/2018 15:00,SB,Parmer to 2222,0.25,0.33
01/17/2018 15:00,SB,Parmer to 5th/CVZ,0.5,0.66
01/03/2018 02:00,NB,2222 to Parmer,0.25,0.33
01/03/2018 02:00,NB,CVZ to 183,0.25,0.33
01/03/2018 02:00,NB,CVZ to Parmer,0.5,0.66
01/03/2018 02:00,SB,2222 to 5th/CVZ,0.25,0.33
01/03/2018 02:00,SB,Parmer to 2222,0.25,0.33
01/03/2018 02:00,SB,Parmer to 5th/CVZ,0.5,0.66
01/27/2018 12:00,NB,2222 to Parmer,0.25,0.33
01/27/2018 12:00,NB,CVZ to 183,0.25,0.33
01/27/2018 12:00,NB,CVZ to Parmer,0.5,0.66
01/27/2018 12:00,SB,2222 to 5th/CVZ,0.25,0.33
01/27/2018 12:00,SB,Parmer to 2222,0.25,0.33
01/27/2018 12:00,SB,Parmer to 5th/CVZ,0.5,0.66
01/05/2018 16:30,NB,2222 to Parmer,0.55,0.73
01/05/2018 16:30,NB,CVZ to 183,3.55,4.72
01/05/2018 16:30,NB,CVZ to Parmer,4.1,5.45
01/05/2018 16:30,SB,2222 to 5th/CVZ,2.81,3.73
